n1,detection_ms,peak_memory_mb,detected,run
3,1697.7322999737225,0.13409042358398438,True,0
3,1668.4974000090733,0.13333892822265625,True,1
3,1644.2911999765784,0.13334274291992188,True,2
3,1904.0800999500789,0.1341094970703125,True,3
3,1833.9113999973051,0.13405609130859375,True,4
5,3004.488600010518,0.14556884765625,True,0
5,3006.6226999624632,0.14505767822265625,True,1
5,2964.5255000214092,0.14459991455078125,True,2
5,3293.9228999894112,0.14516448974609375,True,3
5,3064.5743000204675,0.14556884765625,True,4
7,4318.663700018078,0.157257080078125,True,0
7,4296.0344000021,0.15744781494140625,True,1
7,4384.771799959708,0.15707778930664062,True,2
7,4392.177300003823,0.15716934204101562,True,3
7,4331.4176999847405,0.15744400024414062,True,4
9,5627.936000004411,0.1687164306640625,True,0
9,5722.033200028818,0.16919708251953125,True,1
9,6042.184200021438,0.16925430297851562,True,2
9,5622.563499957323,0.168701171875,True,3
9,5594.661400013138,0.16907119750976562,True,4
