n1,n2,delay_ms,detection_ms,transition_tcp_ms,tcp_wire_bytes,protocol_response_bytes,detected,malicious,run
5,3,0.0,90.46084247529507,90.3494842350483,5507,1680,True,1,0
5,3,0.0,82.02711306512356,81.91137760877609,5498,1680,True,1,1
5,3,0.0,96.94342315196991,96.84646315872669,5507,1680,True,1,2
5,3,0.0,90.645182877779,90.53875505924225,5504,1680,True,1,3
5,3,0.0,79.65955510735512,79.43123206496239,5498,1680,True,1,4
5,3,0.0,96.79906629025936,96.65573015809059,5500,1680,True,1,5
5,3,0.0,83.20379070937634,83.05253088474274,5503,1680,True,1,6
5,3,0.0,96.24089859426022,96.088333055377,5503,1680,True,1,7
5,3,0.0,83.62087421119213,83.49612168967724,5501,1680,True,1,8
5,3,0.0,89.97046947479248,89.84191156923771,5502,1680,True,1,9
5,3,0.0,110.89822091162205,110.75150407850742,5495,1680,True,1,10
5,3,0.0,107.29928873479366,107.17131569981575,5495,1680,True,1,11
5,3,0.0,89.0215989202261,88.92389573156834,5497,1680,True,1,12
5,3,0.0,94.04734522104263,93.93193759024143,5490,1680,True,1,13
5,3,0.0,99.70704838633537,99.57585297524929,5497,1680,True,1,14
5,3,0.0,80.94909973442554,80.8024313300848,5496,1680,True,1,15
5,3,0.0,89.50968272984028,89.37502466142178,5500,1680,True,1,16
5,3,0.0,127.02771089971066,126.89477577805519,5500,1680,True,1,17
5,3,0.0,100.60595907270908,100.46892426908016,5497,1680,True,1,18
5,3,0.0,89.18529935181141,89.0431571751833,5503,1680,True,1,19
5,3,0.0,97.60540165007114,97.45926223695278,5502,1680,True,1,20
5,3,0.0,96.87900356948376,96.74264118075371,5495,1680,True,1,21
5,3,0.0,85.62521822750568,85.52215620875359,5501,1680,True,1,22
5,3,0.0,87.43320591747761,87.3006097972393,5492,1680,True,1,23
5,3,0.0,90.87936766445637,90.74156545102596,5491,1680,True,1,24
5,3,0.0,88.23269233107567,88.10057677328587,5496,1680,True,1,25
5,3,0.0,95.68876028060913,95.5676268786192,5505,1680,True,1,26
5,3,0.0,83.85896869003773,83.74210819602013,5502,1680,True,1,27
5,3,0.0,109.41233485937119,109.24695990979671,5498,1680,True,1,28
5,3,0.0,90.0634229183197,89.93205800652504,5502,1680,True,1,29
