depth,n1,n2,n3,delay_ms,offline_ms,edge_online_ms,fog_transition_tcp_ms,cloud_transition_tcp_ms,total_ms,offline_bytes,online_edge_bytes,fog_transition_model_bytes,cloud_transition_model_bytes,fog_transition_tcp_wire_bytes,cloud_transition_tcp_wire_bytes,tcp_wire_bytes,total_model_bytes,correct,run
50,5,3,2,0.0,11.559022590517998,3.3131763339042664,129.0556825697422,265.6394559890032,409.56733748316765,12000,8400,2160,960,5496,2552,8048,23520,True,0
50,5,3,2,0.0,13.965612277388573,2.911752089858055,98.95138628780842,81.6681757569313,197.49692641198635,12000,8400,2160,960,5506,2558,8064,23520,True,1
50,5,3,2,0.0,8.555784821510315,1.5496574342250824,84.18656326830387,90.52843600511551,184.82044152915478,12000,8400,2160,960,5503,2555,8058,23520,True,2
50,5,3,2,0.0,12.964043766260147,2.69174762070179,99.18489679694176,99.57650862634182,214.4171968102455,12000,8400,2160,960,5501,2560,8061,23520,True,3
50,5,3,2,0.0,8.983416482806206,1.872088760137558,88.83915841579437,63.2209163159132,162.91557997465134,12000,8400,2160,960,5497,2555,8052,23520,True,4
50,5,3,2,0.0,11.26878336071968,2.213764935731888,85.45656315982342,81.74120262265205,180.68031407892704,12000,8400,2160,960,5497,2559,8056,23520,True,5
50,5,3,2,0.0,11.01233996450901,2.2524353116750717,89.75490927696228,75.063306838274,178.08299139142036,12000,8400,2160,960,5498,2548,8046,23520,True,6
50,5,3,2,0.0,9.686995297670364,2.322675660252571,99.57484155893326,108.21619629859924,219.80070881545544,12000,8400,2160,960,5510,2561,8071,23520,True,7
50,5,3,2,0.0,12.578507885336876,1.9000079482793808,92.98931621015072,71.06097973883152,178.5288117825985,12000,8400,2160,960,5503,2550,8053,23520,True,8
50,5,3,2,0.0,10.48821397125721,2.0181313157081604,84.44266021251678,229.41270656883717,326.3617120683193,12000,8400,2160,960,5502,2556,8058,23520,True,9
50,5,3,2,0.0,9.075859561562538,1.8399879336357117,89.2572533339262,146.4594416320324,246.63254246115685,12000,8400,2160,960,5500,2557,8057,23520,True,10
50,5,3,2,0.0,9.238362312316895,2.6845354586839676,97.5190419703722,60.40017679333687,169.84211653470993,12000,8400,2160,960,5500,2557,8057,23520,True,11
50,5,3,2,0.0,10.515935719013214,1.7096363008022308,89.0967883169651,76.7331887036562,178.05554904043674,12000,8400,2160,960,5504,2554,8058,23520,True,12
50,5,3,2,0.0,9.392060339450836,1.8627196550369263,98.22295978665352,71.79202884435654,181.26976862549782,12000,8400,2160,960,5504,2555,8059,23520,True,13
50,5,3,2,0.0,10.175615549087524,2.2664889693260193,96.07191570103168,119.6179986000061,228.13201881945133,12000,8400,2160,960,5502,2552,8054,23520,True,14
50,5,3,2,0.0,9.72227193415165,1.9476991146802902,98.47614169120789,78.97929102182388,189.1254037618637,12000,8400,2160,960,5497,2558,8055,23520,True,15
50,5,3,2,0.0,11.693162843585014,2.543935552239418,99.9677050858736,157.4509795755148,271.65578305721283,12000,8400,2160,960,5503,2561,8064,23520,True,16
50,5,3,2,0.0,10.511208325624466,2.350699156522751,107.71973431110382,95.60500085353851,216.18664264678955,12000,8400,2160,960,5502,2552,8054,23520,True,17
50,5,3,2,0.0,12.64091394841671,2.3357179015874863,95.40116041898727,109.08305644989014,219.4608487188816,12000,8400,2160,960,5505,2562,8067,23520,True,18
50,5,3,2,0.0,9.942220523953438,2.0246803760528564,84.99833196401596,267.60305650532246,364.5682893693447,12000,8400,2160,960,5496,2558,8054,23520,True,19
50,5,3,2,0.0,13.357816264033318,2.9970481991767883,87.34532259404659,130.84865361452103,234.54884067177773,12000,8400,2160,960,5503,2558,8061,23520,True,20
50,5,3,2,0.0,11.203143745660782,2.5111138820648193,93.12827698886395,101.46909020841122,208.31162482500076,12000,8400,2160,960,5506,2558,8064,23520,True,21
50,5,3,2,0.0,11.323615908622742,2.536594867706299,107.48296231031418,76.60596258938313,197.94913567602634,12000,8400,2160,960,5504,2555,8059,23520,True,22
50,5,3,2,0.0,9.861137717962265,2.0810551941394806,94.1428430378437,206.11694268882275,312.2019786387682,12000,8400,2160,960,5501,2552,8053,23520,True,23
50,5,3,2,0.0,10.042404755949974,2.628551796078682,80.05142398178577,80.25726489722729,172.97964543104172,12000,8400,2160,960,5497,2561,8058,23520,True,24
50,5,3,2,0.0,9.80481505393982,2.2238418459892273,84.91849526762962,279.8264604061842,376.77361257374287,12000,8400,2160,960,5501,2549,8050,23520,True,25
50,5,3,2,0.0,9.253932163119316,1.8758829683065414,108.43165591359138,90.97565524280071,210.53712628781796,12000,8400,2160,960,5501,2554,8055,23520,True,26
50,5,3,2,0.0,12.666041031479836,3.1537488102912903,90.76571650803089,162.60043531656265,269.18594166636467,12000,8400,2160,960,5509,2557,8066,23520,True,27
50,5,3,2,0.0,12.657074257731438,2.9053092002868652,93.994976952672,90.49814939498901,200.05550980567932,12000,8400,2160,960,5504,2555,8059,23520,True,28
50,5,3,2,0.0,13.378551229834557,2.8653517365455627,87.81042508780956,71.62599079310894,175.68031884729862,12000,8400,2160,960,5508,2559,8067,23520,True,29
